subject,prompt
VHS,"Create a vaporwave-themed cell phone with 90's elements: Vibrant neon colors,, digital grid landscapes,, retro-futuristic cityscapes,, and iconic 90's mobile phones., Emphasize pink and turquoise hues,, with geometric patterns., Include elements like a classic chunky,, vintage mobile phone prominently displayed., Incorporate aesthetic features like VHS glitch effects,, chrome typography,, and floating geometric shapes., Set the scene at twilight to capture the essence of vaporwave with a nostalgic,, yet futuristic feel., the name ""NOKIA"" etched into the phone,, filled with typical vaporwave motifs --s 750 --v 6., 0 --style raw"
geisha,"geisha woman in ink on white matte vinyl wall sticker,, in the style of anton mauve,, light pink and red,, gabriele dell'otto,, presentation of human form,, traditional animation,, flowing fabrics,, traditional costumes --ar 1:2 --stylize 750 --v 6"
receptionist airport carpark,welcoming female receptionist airport carpark uk high viz yellow waistcoat very friendly
king,"king of apes,, fashion casual ape,, sneakers,, sunglasses,, jeans pants,, futuristic background,, full figure,, in cyberpunk style,, masterpiece,, best quality,, high detail,, photorealistic,, hr,, --chaos 0"
Final Fantasy,"High spec beautiful girl,, light pink hair color,, short hair,, female emperor,, pink eyes,, Final Fantasy style,, full body,, high pixel count,, high image processing,, high image quality,, high resolution"
dragon stands,"a colorful dragon stands on top of a rock with clouds and mountains,, in the style of hyper-realistic,, intense light and dark,, mallgoth,, free brushwork,, aurorapunk,, commission for,, 20 megapixels --ar 64:45 --v 6., 0"
camilla d'errico,"a person in a metal suit with a chain,, in the style of gum bichromate,, camilla d'errico,, light bronze and pink,, disfigured forms,, webcam photography,, religious camilla d'erricos,, donna huanca --ar 70:87 --s 1000 --c 100 --w 1000 --v 5., 2 --style raw"
HDR,"Create a conceptual Christmas poster,, HDR,, hyperrealistic,, photorealistic,, 32k UHD resolution,, white balance,, light volume., ,, ultra hd,, realistic,, vivid colors,, highly detailed,, UHD drawing,, pen and ink,, perfect composition,, beautiful detailed intricate insanely detailed octane render trending on artstation,, 8k artistic photography,, photorealistic concept art,, soft natural volumetric cinematic perfect light --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers,, ugly,, deformed,, noisy,, blurry,, distorted,, grainy,, ugly,, deformed,, noisy,, blurry,, distorted,, grainy"
winter,"a bitter winter,, ultra hd,, highly detailed,, perfect composition"
Retro,"Retro cafe with a vintage design,, cozy interior atmosphere,, and brick facade,, inspired by Peter Zumthor,, painted by Maia Flore --ar 16:9 --c 3 --v 5., 1"
raphael lacoste,"a woman with red eyes in a hood,, in the style of detailed penciling,, raphael lacoste,, dark silver and orange,, marc silvestri,, ingrid baars,, sketches,, emotionally charged portraits --ar 1:2 --stylize 750 --v 6"
girl,"a girl in jean overalls posing with a doll face,, in the style of zbrush,, anime art,, realistic renderings of the human form,, comic art,, realistic sculptures,, beige,, dark white and sky-blue --ar 85:128 --s 1000 --v 6., 0"
alien,"an alien made of crystal::2 big shiny black eyes,, soulful eyes::planet in the background --v 4 --q 2 --ar 9:16,, SAI Pixel Art"
Mediterranean,"a coastal design with Mediterranean building style,, blue & white color on exterior walls,, artistic,, picturesque Norman Rockwell,, beach-themed,, rounded outline,, colorblocked ceramic panels,, seaside section,, various seashells,, sailboat,, wave pattern --v 5., 2 --ar 2:3"
Meta Human,"Meta Human with bio-illuminated cracks like veins,, all over body,, standing on an open desert evening"
greg hildebrandt,"free realistic painting,, in the style of greg hildebrandt,, feminine body,, coastal landscapes,, john larriva,, spray painted realism,, beige,, hard-edge painting --ar 35:64 --stylize 750 --v 5., 2"
atmosphere,"Terrible atmosphere,, cinematic,, 8mm film movie ,, horror,, action motion,, dead peoples and animals,, death walking terror,, color"
Renaissance Art,"A 3D character half rabbit half daisy detailed and Renaissance Art style,, make a meadow background::2,, art by Francis Bacon,, edge decorated with shining petals --v 5., 1 --s 750 --q 2"
Karl Lagerfeld,"A black african woman with glasses wearing a big hat,, nigerian woman,, in the style of gareth pugh,, bold yet graceful,, inspired by the artist [Karl Lagerfeld] iconic imagery,, understated sophistication,, witchy academia,, nikon d850,, 85mm lens,, high resolution,, --ar 1:1 --style raw --v 6"
AI,"Design futuristic vehicles,, aircraft,, or transportation concepts through AI-generated imagery,, exploring innovative designs., ,, cinematic,, 4k,, epic Steven Spielberg movie still,, sharp focus,, emitting diodes,, smoke,, artillery,, sparks,, racks,, system unit,, motherboard,, by pascal blanche rutkowski,, artstation hyperrealism painting,, concept art of detailed character design,, matte painting,, 4 k resolution,, blade runner --c 1., 5"
Art Nouveau,"Art Nouveau,, portrait,, beautiful,, atmospheric,, 4k,, mysterio,, insane details,, dramatic lighting,, tarot card  --ar 3:4 --v 5., 2"
woman,"Japanese ink drawing of a stunning Japanese woman,, side view,, face only,, traditional attire --ar 68:128 --stylize 750 --v 6"
woman,"woman with freckles with a smile,, in the style of calming effect,, naturecore,, intense energy,, photo taken with provia,, figurative precision,, sleepycore,, gentle expressions --ar 37:55 --stylize 750 --v 6"
portrait,a cinematic portrait of a slender tattooed girl with colorful dreadlocks and aquamarine eyes
shilin huang,"asian woman laying on a bed in red on t shirt,, in the style of karol bak,, uniformly staged images,, shilin huang,, 32k uhd,, dark amber and gray --ar 71:93 --stylize 750 --v 6"
girl,"girl with horse,, blue background,, Hajime Sorayama style --v 5., 2"
spacecraft,"spacecraft in action,, star wars,, in the style of olympus af-1 (aka olympus infinity),, cinematic stills,, light gray and blue,, i can't believe how beautiful this is,, fragmented planes,, light gray and dark emerald,, frostpunk::,, a spaceship riding into view at a distance,, in the style of #vfxfriday,, changelingcore,, imax,, close up,, i can't believe how beautiful this is,, light indigo and white,, 32k uhd::,, photo,, digital art,, science fiction:: --v 5., 2"
spacecraft,"spacecraft in action,, star wars,, in the style of olympus af-1 (aka olympus infinity),, cinematic stills,, light gray and blue,, i can't believe how beautiful this is,, fragmented planes,, light gray and dark emerald,, frostpunk,, realistic hyper-detailed rendering,, hyper-realistic details,, 32k uhd,, masterpiece::,, a spaceship riding into view at a distance,, in the style of #vfxfriday,, changelingcore,, imax,, close up,, i can't believe how beautiful this is,, light indigo and white,, realistic hyper-detailed rendering,, hyper-realistic details,, 32k uhd,, masterpiece::,, photo,, digital art,, science fiction:: --v 5., 2"
jarek kubicki,"the flying helmet is in the subway station,, in the style of futuristic cyberpunk,, tilt-shift lenses,, uhd image,, jarek kubicki,, military and naval scenes,, industrial and product design,, light black and orange"
blurry,"Transport yourself to the rugged countryside with this realistic depiction of a chicken in its natural habitat., The dark background adds a sense of mystery and intrigue,, while the high definition rendering brings every tiny detail to life., --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers"
photographer,"A photographer,, vintage camera icon,, Screenprint art,, timeless character avatar,, nostalgic,, icon design,, faded outline,, sepia-toned color,, beautifully captured,, evocative,, white background,, fine art photography --chaos 10 --q 2 --v 5., 1 --style raw --s 250 --ar 2:3"
Cybernetics,"Cybernetics,, action movie protagonist,, cross-cutting scenes of two women,, repeating patterns,, unreal,, sound waves,, free-flowing melodies,, digital world,, reflections,, masterpiece,, 32k UHD resolution,, high quality,, professional photography --ar 9:16 --v 5., 2"
Young woman portrait,"Young woman portrait,, id magazine cover style --stylize 250 --v 6., 0 --style raw"
duy huynh,"a snowy christmas tree brunch against a blue background,, in the style of innovative page design,, duy huynh,, zbrush,, white background,, animated gifs,, konica big mini,, soft and rounded forms --style raw --s 150"
jessica drossin,"very beautiful girl in bright leggings,, white short top,, charismatic personality,, professional photo,, style of jessica drossin,, super realistic photo,, hyper detail,, great attention to skin and eyes,, professional photo,, "
Shawn Crahan of Slipknot,"Shawn Crahan of Slipknot,, realistic illustration,, a man with a white beard wearing glasses,, a character portrait by Erwin Bowien,, trending on unsplash,, arbeitsrat für kunst,, studio portrait,, shot on 70mm,, creative commons attribution"
Emily Blunt,"candid shot,, Portrait of (Emily Blunt ) ,, style of Anton Corbijn,, Wetplate Photography,, extreme Film Grain,, surrounding of death Valley,, with a single Joshua Tree,, black and white Photograph ,, Sepia Tones,, extreme high contrast,, white colour remains white,, sharp focus,, bokeh,, Hasselblad X1D,, 200mm,, Kodak Trix 400,, --v 6., 0 --style raw"
Anton Gorlin,"saharian landscape at sunset ,, 4k ultra realism,, BY Anton Gorlin,, trending on artstation,, sharp focus,, studio photo,, intricate details,, highly detailed,, by greg rutkowski"
airbrush art,"beautiful female with a futuristic looking face,, in the style of fantastical contraptions,, traditional oceanic art,, orange and beige,, algorithmic artistry,, airbrush art,, alexander fedosav,, richly colored --ar 1:2 --stylize 750 --v 5., 2"
charlie bowater,"a woman in a green coat looking at the camera,, in the style of charlie bowater,, magali villeneuve,, childlike illustrations,, i can't believe how beautiful this is,, comic art,, 32k uhd,, messy --ar 73:111 --stylize 750 --v 6"
Holy Supper,"Holy Supper,, ancient scene,, image of a wooden Cup next to an Ancient Bread,, from the time of Jesus,, Christian Evangelical,, frame on the table,, the cup and the bread,, glorious scene,, warm lighting,, perfect composition,, beautiful detailed intricate insanely detailed octane render trending on artstation,, 8 k artistic photography,, photorealistic concept art,, soft natural volumetric cinematic perfect light,, chiaroscuro,, award - winning photograph,, masterpiece,, oil on canvas,, raphael,, caravaggio,, greg rutkowski,, beeple,, beksinski,, giger --c 25"
Pixar Animation Studios,"Fearless lion,, composing a symphony,, of the savannah,, with majestic mane and powerful roar,, by Pixar Animation Studios,, by Art Spiegelman,, dynamic illustration,, dramatic sunset background::2 --ar 2:3 --v 5., 1 --style raw"
body,"the body of a man being simulated in white hood,, in the style of cyberpunk imagery,, mechanical designs,, algorithmic artistry,, 32k uhd,, chrome-plated,, enigmatic characters,, ue5 --ar 68:128 --stylize 750 --v 5., 2"
orange fluffy,"Pose of an anime shy fox cub,, orange fluffy tail and cautious,, by Production I., G,, earthy color,, 3ds max,, V-ray,, peaceful green background::2 --ar 2:3 --q 2 --niji 5"
style,In the style of liam wong
fairy dragon hd wallpaper,"fairy dragon hd wallpaper,, in the style of silver and azure,, golden age aesthetics,, beautiful women,, strong facial expression,, fairycore,, azure --ar 35:59 --stylize 750 --v 6"
Christian Lacroix,"Tilted frame of a black and gold brocade jacket,, baroque design,, features embroidered accents and a peplum waist,, onyx shaded,, magnification,, designed by Christian Lacroix,, fluorescent,, ornate,, intricate details --ar 2:3 --v 5., 1 --q 2 --no mannequin"
bunny,"a happy bunny shaped ice cream popsicle,, cute,, dancing,, friends,, ice cream hopsital room,, mommy ice cream,, baby ice cream,, (((facing viewer))),, 64 bits Pixel Art"
sci fi,"alien ruins,, sci fi,, blurred,, soft light,, golden ration,, far future --c 75 --v 6., 0"
casa,"Flores em uma casa na montanha com um visão linda das montanhas no horizonte,, waltercolor,, altamente detalhado,, ultra definição,, UHD"
woman,"woman's face,, pablo picasso,, cubism,, vibrant colors --ar 1:2 --stylize 750 --v 5., 2"
woman,"a woman with green eyes and tattoos,, in the style of intricate black and white illustrations,, fantasy characters,, sketchfab,, thai art,, dark white and silver,, serene faces,, symmetrical balance --ar 76:77 --stylize 750 --v 6"
Rough charcoal sketch,"Rough charcoal sketch on old paper,, beautiful female figure,, seductive pose,, clean line art --ar 68:128 --stylize 750 --v 5., 2"
theo el,"alien cyborg art and illustration by theo el,, in the style of balanced symmetry,, light orange and cyan,, detailed facial features,, manticore,, organic forms,, muted tones,, meticulous portraiture,, complex patterns --ar 1:2 --stylize 750 --v 6"
Abstract damascus steel art,Abstract damascus steel art
fairy dragon hd wallpaper,"fairy dragon hd wallpaper,, in the style of silver and azure,, golden age aesthetics,, beautiful women,, strong facial expression,, fairycore,, azure --ar 35:59 --stylize 750 --v 6"
impressionist impasto brush strokes,"soft impressionist impasto brush strokes perfect composition,, perfect face,, rim ligthing,, character portrait,, plain background,, intricate,, oil on canvas,, masterpiece,, expert,, insanely detailed,, 4k resolution"
view portrait,"front view portrait  of woman head,, front view portrait,, metalic skin,, melting into the patinated background,, brilliant modern abstract jewellery around the head,, singificant metalic make-up,, capturing the intricate details,, blue,, green,, beige --ar 3:4 --s 350 --v 6., 0"
Light watercolor,"Light watercolor,, interior of a cozy cafe,, bright,, white background,, few details,, dreamy,, 64 bits Pixel Art"
xu beihong,"an asian woman in stockings,, in the style of unreal engine 5,, sentimental realism,, realistic yet ethereal,, animated gifs,, xu beihong,, shiny eyes,, light red and dark beige --ar 14:17 --stylize 750 --v 5., 2"
sci fi,"Alien ruins,, sci fi,, soft light,, golden ration,, far future,, sharp focus,, studio photo aesthetic,, boasts intricate details,, ultra-clear,, highly detailed,, dramatic lighting,, style by Greg Rutkowski -"
Cristobal Balenciaga,"Front view of a blouse design,, featuring a high neckline and pleats at the shoulders,, shot from the front,, designed by Cristobal Balenciaga,, neutral color scheme,, Crepuscular rays,, clean and beige background::2,, Octane render,, V-ray --ar 2:3 --v 5., 1 --q 2 --no mannequin"
jesus],"[jesus] wearing headphones,, drawn with white ink on black paper --ar 8:15 --stylize 50 --v 5., 2"
hoodie,"the head of a white man with hoodie on,, in the style of cyberpunk imagery,, robotic motifs,, shiny/glossy,, controlled chaos,, symmetrical asymmetry,, associated press photo,, dark white and silver --stylize 750 --v 5., 2"
Carn Dum,"a young female hobbit,, ultra realism,, lord of the rings,, snowy forest,, pale hues,, hobbit from lord of the rings who escaped Carn Dum,, grimy,, dirty,, black hair,, homely,, ugly"
Southern California,"A Fire breather,, performing in front of the sunset beach in Southern California"
Annie Lebowitz,"stunning photograph of a beautiful Japanese woman,, in the style of Annie Lebowitz --ar 1:1 --stylize 750 --v 6"
watercolor,"colorful watercolor with intricate patters overlaid in ink --v 6., 0"
Deformed,"perfect eyes,, black wavy hair,, ray tracing,, photoshoot,, colorized,, handsome,, masculine --no 2 heads,, 2 faces,, heterochromia,, cropped image,, ((hat)),, ((belt)),, out of frame,, necklace,, draft,, deformed hands,, twisted fingers,, double image,, malformed hands,, multiple heads,, extra limb,, ugly,, poorly drawn hands,, missing limb,, disfigured,, cut-off,, ugly,, grainy,, low-res,, Deformed,, blurry,, bad anatomy,, poorly drawn face,, mutation,, mutated,, floating limbs,, disconnected limbs,, disgusting,, mutilated,, mangled,, extra fingers,, duplicate artifacts,, morbid,, gross proportions,, missing arms,, mutated hands,, mutilated hands,, cloned face,, malformed,, blur,, haze,, low resolution,, low quality,, watermark,, out of frame,, uneven exposure,, tattoos,, bad composition,, jpeg artifacts,, text,, WOMAN,, female"
mike deodato,"an oil painting of a woman with long black hair,, in the style of mike deodato,, contemporary middle eastern and north african art,, charming character illustrations,, gray and amber,, dmitri danish,, digitally enhanced,, alice pasquini --ar 1:2 --stylize 750 --v 6"
kathleen jones,"the model in this dress is the work of kathleen jones,, in the style of otherworldly creatures,, light white and light aquamarine,, hyper-realistic details,, figura serpentinata,, fashwave,, rococo ornateness,, neo-concrete art --ar 51:64 --s 750 --niji 5 --style cute"
Include,"Generate a serene and mesmerizing image of a calm and deep blue sea., Envision a vast expanse of clear,, tranquil waters under a cloudless sky., Capture the play of sunlight on the surface,, creating vibrant shades of blue and highlighting the clarity of the sea., Emphasize the peacefulness of the scene with gentle waves or ripples., Include subtle details like distant horizons,, perhaps a few seabirds,, to enhance the realism and depth of the image., Convey the beauty and tranquility of an untouched,, expansive ocean that evokes a sense of calm and wonder"
Box elder burl,"Box elder burl abstract art white and dark blue tones macro shot,, highly detailed"
kissing,"kissing,, loughint"
drawing,"new drawing of a woman,, in the style of movie poster,, red,, vintage-inspired designs,, detail-oriented,, barbiecore,, soviet,, bold character designs --ar 31:64 --stylize 750 --v 5., 2"
Light watercolor,"Light watercolor,, a bouquet of flowers,, bright,, white background,, few details,, dreamy,, 64 bits Pixel Art"
girl,"a young girl with blue hair on a blue background,, in the style of multiple exposure,, dark cyan and light amber,, leica cl,, uhd image,, portraitures,, golden light --ar 75:112 --style raw --v 6., 0"
sunny beach,"A happy-go-lucky boy with wild blonde hair and bright blue eyes,, wearing a colorful tie-dye shirt,, is playing guitar on a sunny beach,, face drawn by the skilled artist Max Fleischer,, detailed,, against a palm tree-filled backdrop::4 --ar 2:3 --niji 5 --style cute --q 2"
waves,"Abstract ocean waves with binary code,, intense indigo and green and light blue paint splatter art style,, prismatic,, 3d"
photography,"disposable photography of 3 fashion models,, wearing white knit,, with shining background,, 8k,, photo realism --ar 9:16"
round tables,"Three round tables of primary school students are playing games with two friendly robots,, photorealistic,, bright colors"
photo,"photo of a geisha,, cyberpunk aesthetic,, realistic skin,, cybernetics --style raw --v 5., 2 --ar 16:9"
woman,"a woman holding an ice cube,, in the style of dark sky-blue and light crimson,, splattered/dripped,, shiny eyes,, movie still,, intricate costumes,, whiplash line,, barbiecore --ar 128:85 --s 1000 --c 100 --w 1000 --v 5., 2 --style raw"
man,"a man with headphones,, his face contorted in an ecstatic scream,, as a vibrant and chaotic burst of orange and yellow swirls represents the overwhelming rush of music and emotion"
Mattel,"a barbie doll Mattel by Azzedine Alaia:: holding diamonds,, in the style of 32k uhd,, hyper-detailed illustrations,, iconic --no text,, extra fingers,, mutated hands,, poorly drawn hands,, missing arms,, missing legs,, extra arms,, extra legs,, fused fingers,, too many fingers --s 50 --style raw"
Emily Blunt,"candid shot,, Portrait of (Emily Blunt ) ,, style of Anton Corbijn,, Wetplate Photography,, extreme Film Grain,, surrounding of death Valley,, with a single Joshua Tree,, black and white Photograph ,, Sepia Tones,, extreme high contrast,, white colour remains white,, sharp focus,, bokeh,, Hasselblad X1D,, 200mm,, Kodak Trix 400,, --v 6., 0 --style raw"
Time,Time traveller woman
sorceress,"A young sorceress,, transported in other world,, the land of robots,, while looking for her way home,, comes across many characters,, who will involve her in many adventures  creatures,, intricate artwork ., octane render,, trending on artstation,, t symmetrical artwork., cinematic,, hyper realism,, high detail,, octane render,, 8k"
Clay Material,"A Cute Red Chinese Dragon Entrenched in a Disney Castle,, Clay Material,, Pixar,, Cartoon,, 3D Rendering,, Ultra Fine Detail,, HD,, 32k,, --ar 16:9"
Cartoon Art,"Painting of a canary blue and white petals on a serene sky yellow background,, soft colors,, in style of Cartoon Art,, art by Hans Baldung,, Bird view,, Rim Lighting,, smooth --v 5., 1 --style raw --s 250 --ar 9:16 --q 2"
series,"a series of [people] are shown in isometric fashion,, in the style of small brushstrokes,, white background,, simple colors,, casts of spaces,, simple colors --v 5., 2"
anita malfatti,"the pictures are taken from omi's new campaign for the label,, in the style of short yellow and blue,, kurt schwitters,, anita malfatti,, mechanized precision,, photo taken with ektachrome,, dusty piles,, brian bolland --s 750 --v 5., 2 --style raw"
Immerse,"Create a stunning and captivating digital portrait of a distinguished Indian brown gentleman 23 years old sporting a sophisticated style,, large eyes,, Position the Immerse against a vibrant studio backdrop that radiates warmth and energy., Enhance the portrait with subtle highlights and shadows,, meticulously crafted to accentuate the Immerse's captivating features., Immerse the gentleman in a world of refined elegance,, adorned in a timeless white printed shirt complements his sophisticated demeanor., Captivate the viewer with the Immerse's piercing gaze,, framed by a pair of impeccably polished eyeglasses that exude intellectual prowess., Incorporate a series of subtly textured text overlays that dance across the portrait,, adding a touch of intrigue and mystery without detracting from the Immerse's captivating presence., Ensure the portrait exudes a sense of timeless elegance,, reminiscent of the golden age of cinema and the allure of Hollywood legends., Craft an image that is both visually stunning and intellectually stimulating,, capturing the essence of a man who exudes sophistication and charisma., The text overlays should be carefully designed to complement the overall aesthetic of the portrait,, using a font style and color palette that harmonize with the Immerse's attire and the vibrant yellow background., The text should not be overly intrusive or distracting,, but rather serve as a subtle enhancement that adds depth and intrigue to the image., --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, extra fingers,, long neck,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers"
the Milton Caniff,"Tilted frame,, a lovely anime character dissolving into blooming,, rainbow-colored petals,, mingling with the beauty of the scene,, illuminated by soft,, glowing lights,, inspired by the Milton Caniff,, striking a charming pose,, looking at the camera,, Satellite imagery,, with a picturesque garden as the background --ar 2:3 --niji 5 --v 5"
AI,"Design futuristic vehicles,, aircraft,, or transportation concepts through AI-generated imagery,, exploring innovative designs., ,, cinematic,, 4k,, epic Steven Spielberg movie still,, sharp focus,, emitting diodes,, smoke,, artillery,, sparks,, racks,, system unit,, motherboard,, by pascal blanche rutkowski,, artstation hyperrealism painting,, concept art of detailed character design,, matte painting,, 4 k resolution,, blade runner --c 1., 5"
Black,"A studio-lit chemistry lab with three students,, each from different descents: Caucasian,, Asian,, and Black., They are interacting with vivid,, colorful holograms depicting various chemical structures and molecules., The scene is evenly lit with no harsh shadows or contrast,, giving a clear and detailed view of the environment., The image has the crisp,, clean quality characteristic of a photo taken with a Canon EOS R3 using a 50mm lens,, showcasing the advanced technology and educational setting."
blurry,"botanical garden in winter under the snow,, ambiant occlusion,, tormented sky,, warm sunset light,, spectacular trees,, cinematic photography,, ultra highly detailed,, perfect framing,, perfect composition,, 8k --no no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers,, ugly,, deformed,, noisy,, blurry,, distorted,, grainy,, ugly,, deformed,, noisy,, blurry,, distorted,, grainy"
Paul Gauguin,"a confident woman with a sleek ponytail and captivating brown eyes,, wearing a tailored gray suit,, is sitting in a modern office,, half-body:: portraited,, face drawn by the masterful artist Paul Gauguin,, detailed,, against a cityscape background --ar 2:3 --niji 5 --style expressive --q 2"
girl,"girl with horse,, blue background,, Hajime Sorayama style --v 5., 2"
jarek kubicki,"the flying helmet is in the subway station,, in the style of futuristic cyberpunk,, tilt-shift lenses,, uhd image,, jarek kubicki,, military and naval scenes,, industrial and product design,, light black and orange"
Rough charcoal sketch,"Rough charcoal sketch on old paper,, beautiful female figure,, seductive pose,, clean line art --ar 1:1 --stylize 750 --v 6"
woman,"a woman wearing an elaborate mask around her face,, in the style of vray tracing,, cloisonnism,, turquoise and gold,, miniature sculptures,, impressionistic venice scenes,, realistic fantasy artwork,, exquisite detail --ar 1:2 --stylize 750 --v 6"
Kanō Naizen,"a close up of a person with a camera,, a photorealistic painting by Kanō Naizen,, cgsociety,, computer art,, ilya kuvshinov,, anime aesthetic,, artstation hd"
https://s.,"cinematic,, fantasy photo,, woman with black hair pulled up into an elegant style and brown eyes,, wearing an ornate emerald gown,, crying dark smoke out of her eyes,, https://s., mj., run/Bwnek0Apxlg --style raw --ar 9:16 --v 6., 0"
kiss,kiss
darth maul,"darth maul eating a sandwich --v 6., 0"
kuhia kawaii,"kuhia kawaii character on ice bench,, in the style of hyper-realistic sci-fi,, vray tracing,, alan bean,, hikari shimoda,, teal and beige,, cute and dreamy --ar 3:4 --s 1000 --v 6., 0"
john blanche,"red dragon in the waves art print,, in the style of kōji morimoto,, neo-traditional japanese,, john blanche,, murals and wall drawings,, tyler walpole,, intense close-ups,, absurdist --ar 71:128 --stylize 750 --v 5., 2"
cyberpunk character design art,"cyberpunk character design art on wallpapers of the new century,, in the style of realistic hyper-detailed portraits,, silver and orange,, robotic expressionism,, gold and azure,, classical academic painting,, trompe-l'œil illusionistic detail,, intense gaze --ar 85:128 --stylize 750 --v 5., 2"
Elegant,"Elegant,, minimalistic,, and sophisticated fashion logo design with clean and delicate abstract shapes and graceful curves vector HD on soft pastel colors background::2 --q 2 --v 5"
anatomy,"the anatomy of a woman's head made of florescent yellow domino pieces and smashed sea shells,, octopath traveler,, vanitas,, angular,, altermodern,, surreal --ar 4:5 --style raw --stylize 50 --v 6"
woman,"Japanese ink drawing of a stunning Japanese woman,, side view,, face only,, traditional attire --ar 68:128 --stylize 750 --v 6"
Focus on the awe,"A majestic mountain at sunrise,, the grandeur of the landscape,, with snow-capped peaks of white and pink glowing., Focus on the awe-inspiring beauty and textures of the mountains., Pulitzer Prize-winning photography,, Bruno Barbey --ar 2:3 --v 5., 2"
creature,"a demonic looking creature with yellow eyes in a forest,, a character portrait by senior character artist,, zbrush central contest winner,, shock art,, unreal engine 5,, unreal engine,, rendered in unreal engine"
closeup shot,"An extreme closeup shot of an old coal miner,, with his eyes unfocused,, and face illuminated in the golden hour --v 6., 0"
picture,"a picture of a beautiful girl in a portrait,, in the style of mote kei,, light orange and light beige,, zeiss batis 18mm f/2., 8 --ar 1:2 --stylize 750 --v 6"
Felicia Simion,"Chinese model poses for a selfie,, in the style of social media influencers,, webcam photography,, Felicia Simion,, photo taken with Provia,, hinchel or,, shiny --ar 68:128 --stylize 750 --v 6"
Hyper Realistic,"Hyper Realistic depiction of Bulma,, cinematic low angle,, leather jacket,, black denim jeans,, vivid turquoise hair,, perfect,, portrait ,, hyper detailed,, amazing background,, highly defined details 32k UHD,, lifelike photo"
No Subject,1984
ricoh ff-9d,"a woman is standing next to a giant robot on a snowy mountain,, in the style of realistic and hyper-detailed renderings,, heistcore,, precisionist art,, light gray and brown,, ricoh ff-9d,, uhd image,, posuka demizu"
castle,"Magical castle,, elegant unicorn and noble princess,, enchanting,, voxel,, pink and lavender color scheme,, 3ds max3d rendering,, fairytale inspired --ar 2:3 --v 5., 2 --style raw --s 250 --ar 9:16"
Tennis Court Blue,"a serious woman with a look of malice,, tendrils,, dark atmosphere,, greyscale,, cinematic,, psychedelic,, vibrant Tennis Court Blue,, ornate,, symmetrical --ar 4:5 --s 50 --v 6., 0 --style raw"
Athens,"/imagine prompt: post classic,, portrait photography,, boho outfit,, super realistic woman,, sitting in a street coffee shop,, with a small greek laurels gold crown,, drinking coffee in modern Athens,, dusk blurred Parthenon in the background"
woman,"a woman in a silver suit posing on white tiles,, in the style of gelatinous forms,, cybergoth,, bronze casts,, high gloss,, smooth and shiny,, theatrical installations,, strong sense of light --ar 155:233 --q 2 --v 5"
Axel Scheffler,"funny and cute bear and girl moire pattern llustration in the style of art by by Axel Scheffler and Eric Carle and Ezra Jack Keats,, beautiful colors --ar 3:4 --stylize 50 --v 5., 2"
raymond leech,"the face of a woman in a t shirt,, in the style of bold,, manga-inspired characters,, poster art,, raymond leech,, light bronze and blue,, berrypunk,, tattoo,, russell dongjun lu --ar 24:37 --stylize 750 --v 6"
xiaofei yue,"the model has a face with a waterfall painted on it,, in the style of xiaofei yue,, grunge beauty,, dino valls,, minimalist purity,, joana vasconcelos,, wimmelbilder,, anti-gloss --ar 100:123 --s 750 --niji 5 --style scenic"
patrick demarchelier,"the face of a woman with brown eyes the face of a person,, in the style of yigal ozeri,, light navy and light gray,, patrick demarchelier,, alayna lemmer,, focus on joints/connections,, caravaggism,, studio light --ar 44:65 --stylize 750 --v 5., 2"
Punjabi,"holi images with a beautiful Punjabi woman dancing around in colored paints,, in the style of light gray and light bronze,, spiritual meditations,, dark gold and pink,, bold and vibrant primary colors,, expressive facial features,, hurufiyya --ar 1:2 --stylize 750 --v 6"
symphony,"symphony of the universe,, visualize an epic scene depicting the harmony of the cosmos"
Cybernetics,"Cybernetics,, action movie protagonist,, female warrior,, virus,, cyberspace,, repeating patterns,, unreal,, sound waves,, free melody,, digital world,, reflection,, masterpiece,, 32k UHD resolution,, high quality,, professional photography,, depth of filed,, sci-fi,, cinematic angle,, cinematic lights,, dynamic warrior pose --ar 3:4 --v 5., 2"
person,"person sewing a blue and orange fabric by hand,, with a metal sewing machine,, wooden table,, threads and needles on the table,, orange lights,, sunny day,, old wood,, reverse shot,, cinematic lighting,, photo realistic,, 4k --ar 3:2 --v 4"
woman,"a woman's portrait,, and some of her hair,, in the style of graphic design poster art,, close-up intensity,, light gold and teal,, bold lithographic,, shiny/glossy,, chicano-inspired,, hyper-realistic pop --ar 1:2 --stylize 750 --v 5., 2"
Ancient,"professional photograph,, Ancient ruins,, star-filled sky,, Milky Way,, silhouette,, overgrown vegetation,, night scene,, contrast,, timeless,, vast sky,, wonder,, contemplation., --ar 9:16 --v 6"
